                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  4.104,                  3.242,                 3.2969,                0.06436,                  0.047,                0.02073,                 0.0062,                 3.4497,                 3.0095,                 3.0496,                0.07016,              0.0033156,              0.0033156
                      1,                 3.1647,                 2.6456,                 2.5667,                0.61946,                0.07025,                0.05054,                0.01901,                 2.6447,                 2.6224,                 2.4486,               0.040094,              0.0065831,              0.0065831
                      2,                 2.5866,                 2.3771,                 2.1451,                0.40934,                0.13451,                0.08109,                0.03285,                 2.3748,                 2.6934,                 2.1904,              0.0099619,              0.0097846,              0.0097846
                      3,                 2.2707,                  2.214,                  1.921,                0.16745,                0.12825,                0.07309,                0.02912,                 2.4328,                 2.7063,                 2.1791,               0.009703,               0.009703,               0.009703
                      4,                 2.1051,                 2.0968,                 1.8103,                0.14377,                0.18478,                0.12137,                0.06094,                 1.9033,                 2.1551,                 1.8604,               0.009703,               0.009703,               0.009703
                      5,                 1.9765,                  2.012,                 1.7401,                0.24247,                0.19038,                0.14601,                0.07525,                 1.7752,                 2.0898,                 1.7868,               0.009604,               0.009604,               0.009604
                      6,                 1.8841,                 1.9333,                 1.6708,                0.46797,                0.18695,                0.14534,                0.07626,                 1.7646,                 2.0396,                 1.7715,               0.009505,               0.009505,               0.009505
                      7,                 1.8341,                 1.8938,                 1.6411,                0.43715,                0.20174,                0.13955,                0.07405,                 1.7262,                  2.104,                 1.7424,               0.009406,               0.009406,               0.009406
                      8,                 1.8024,                 1.8562,                 1.6242,                0.51667,                 0.2227,                0.16481,                0.08372,                 1.6812,                 1.9481,                 1.6937,               0.009307,               0.009307,               0.009307
                      9,                 1.7613,                 1.8132,                 1.5931,                0.23659,                0.23364,                0.17625,                0.09172,                 1.6635,                 1.9001,                 1.6755,               0.009208,               0.009208,               0.009208
                     10,                 1.7242,                 1.7922,                 1.5716,                0.25575,                0.22275,                0.18247,                0.09726,                 1.6199,                 1.8748,                  1.651,               0.009109,               0.009109,               0.009109
                     11,                 1.6955,                 1.7784,                  1.557,                0.22395,                0.22044,                0.16596,                0.09008,                 1.6072,                 1.9032,                 1.6469,                0.00901,                0.00901,                0.00901
                     12,                 1.6801,                 1.7541,                 1.5443,                0.27905,                0.25321,                0.20796,                0.10998,                 1.5788,                 1.8049,                 1.6286,               0.008911,               0.008911,               0.008911
                     13,                 1.6442,                 1.7296,                 1.5292,                0.28134,                0.24692,                0.20321,                0.10809,                 1.5837,                 1.7918,                 1.6353,               0.008812,               0.008812,               0.008812
                     14,                 1.6266,                 1.7027,                 1.5138,                0.24988,                 0.2597,                0.19189,                0.10489,                 1.5656,                 1.7955,                  1.617,               0.008713,               0.008713,               0.008713
                     15,                 1.6011,                  1.691,                 1.5027,                0.26147,                0.24468,                 0.1909,                0.10896,                 1.5489,                 1.7827,                 1.6288,               0.008614,               0.008614,               0.008614
                     16,                 1.5851,                 1.6672,                 1.4933,                0.27832,                0.26141,                 0.2029,                0.11503,                 1.4849,                 1.7601,                 1.5605,               0.008515,               0.008515,               0.008515
                     17,                 1.5797,                 1.6522,                 1.4949,                0.28657,                0.25682,                 0.2095,                 0.1124,                 1.5437,                 1.7542,                 1.5994,               0.008416,               0.008416,               0.008416
                     18,                  1.576,                 1.6543,                 1.4911,                 0.2554,                0.26518,                0.19456,                0.10842,                 1.5242,                 1.7598,                 1.5961,               0.008317,               0.008317,               0.008317
                     19,                 1.5586,                 1.6401,                 1.4727,                0.23621,                0.23556,                0.16906,                0.09755,                   1.53,                 1.8347,                 1.5742,               0.008218,               0.008218,               0.008218
                     20,                 1.5346,                 1.6113,                 1.4569,                 0.3141,                0.25588,                0.21353,                0.12115,                  1.467,                 1.7461,                  1.557,               0.008119,               0.008119,               0.008119
                     21,                 1.5125,                  1.607,                 1.4477,                0.30985,                0.26557,                0.22399,                0.12658,                 1.4688,                 1.7056,                 1.5552,                0.00802,                0.00802,                0.00802
                     22,                 1.5063,                 1.5812,                 1.4428,                0.30002,                0.25187,                0.22026,                0.12415,                 1.4488,                 1.6824,                  1.548,               0.007921,               0.007921,               0.007921
                     23,                 1.4981,                 1.5709,                 1.4352,                0.29028,                 0.2687,                0.20919,                0.12009,                 1.4522,                 1.7144,                 1.5458,               0.007822,               0.007822,               0.007822
                     24,                 1.5033,                 1.5709,                 1.4321,                0.28828,                0.26256,                0.21781,                0.12414,                 1.4575,                 1.7071,                 1.5375,               0.007723,               0.007723,               0.007723
                     25,                 1.4796,                 1.5483,                 1.4194,                0.27533,                0.27968,                0.22219,                0.12603,                 1.4488,                 1.6732,                 1.5453,               0.007624,               0.007624,               0.007624
                     26,                 1.4671,                 1.5346,                 1.4252,                0.31128,                 0.2529,                0.22362,                0.12763,                 1.4267,                 1.7107,                 1.5376,               0.007525,               0.007525,               0.007525
                     27,                 1.4619,                 1.5407,                 1.4246,                0.30022,                0.26785,                 0.2307,                0.13128,                 1.4385,                 1.6924,                 1.5368,               0.007426,               0.007426,               0.007426
                     28,                 1.4505,                 1.5308,                 1.4141,                  0.323,                0.25807,                0.22949,                 0.1314,                 1.4443,                 1.7062,                 1.5408,               0.007327,               0.007327,               0.007327
                     29,                 1.4562,                 1.5114,                 1.4126,                0.30888,                0.26057,                0.22403,                0.12981,                 1.4375,                    1.7,                 1.5347,               0.007228,               0.007228,               0.007228
                     30,                  1.453,                 1.5147,                 1.4164,                0.31876,                0.25128,                0.23076,                0.13058,                 1.4175,                 1.6705,                 1.5269,               0.007129,               0.007129,               0.007129
                     31,                  1.436,                 1.5081,                 1.4064,                0.32926,                0.26822,                0.23601,                0.13224,                  1.426,                 1.6964,                 1.5315,                0.00703,                0.00703,                0.00703
                     32,                 1.4337,                 1.4874,                  1.397,                0.30443,                0.26165,                0.23477,                0.13081,                 1.4297,                 1.6531,                 1.5275,               0.006931,               0.006931,               0.006931
                     33,                 1.4272,                 1.4895,                  1.394,                0.27747,                0.28622,                0.24359,                0.13847,                 1.4258,                 1.6516,                 1.5419,               0.006832,               0.006832,               0.006832
                     34,                 1.4294,                 1.4946,                 1.3948,                0.29211,                 0.2754,                 0.2245,                0.12904,                 1.4324,                 1.6621,                 1.5298,               0.006733,               0.006733,               0.006733
                     35,                 1.4172,                 1.4757,                 1.3907,                0.32083,                0.27375,                0.23488,                0.13456,                 1.3938,                 1.6549,                 1.5077,               0.006634,               0.006634,               0.006634
                     36,                 1.4086,                 1.4636,                 1.3814,                0.31621,                0.29583,                 0.2308,                0.13146,                 1.4247,                 1.6878,                 1.5285,               0.006535,               0.006535,               0.006535
                     37,                  1.403,                 1.4544,                 1.3769,                0.27673,                0.27948,                0.23363,                0.13518,                 1.4139,                 1.6708,                 1.5188,               0.006436,               0.006436,               0.006436
                     38,                  1.393,                 1.4596,                 1.3731,                0.28573,                0.29543,                0.24586,                0.14323,                 1.3972,                 1.6159,                 1.5078,               0.006337,               0.006337,               0.006337
                     39,                 1.3859,                 1.4415,                 1.3707,                0.33762,                0.29467,                0.25203,                0.14521,                 1.3993,                 1.6253,                 1.5168,               0.006238,               0.006238,               0.006238
                     40,                  1.379,                 1.4362,                 1.3694,                0.27956,                 0.2797,                0.23509,                 0.1382,                 1.3856,                 1.6257,                  1.502,               0.006139,               0.006139,               0.006139
                     41,                 1.3785,                 1.4314,                 1.3655,                0.32019,                0.26719,                0.22987,                0.13438,                 1.4011,                 1.6681,                 1.5136,                0.00604,                0.00604,                0.00604
                     42,                 1.3709,                 1.4231,                  1.364,                0.26184,                0.29032,                 0.2321,                0.13618,                  1.402,                 1.6765,                 1.5133,               0.005941,               0.005941,               0.005941
                     43,                  1.363,                 1.4041,                 1.3535,                0.29846,                0.27093,                0.22321,                0.12953,                 1.4149,                 1.6526,                 1.5221,               0.005842,               0.005842,               0.005842
                     44,                 1.3543,                 1.3966,                 1.3516,                0.26413,                0.29565,                0.23505,                 0.1365,                 1.4169,                 1.6579,                  1.536,               0.005743,               0.005743,               0.005743
                     45,                 1.3562,                 1.3944,                 1.3538,                0.26848,                0.31078,                 0.2469,                0.14104,                 1.3935,                 1.6232,                 1.5112,               0.005644,               0.005644,               0.005644
                     46,                 1.3565,                 1.4007,                 1.3535,                0.28689,                0.28481,                 0.2397,                0.14194,                 1.3796,                 1.6442,                 1.5006,               0.005545,               0.005545,               0.005545
                     47,                 1.3421,                 1.3944,                 1.3427,                0.28407,                0.28735,                0.23955,                 0.1376,                 1.3993,                 1.6779,                 1.5167,               0.005446,               0.005446,               0.005446
                     48,                  1.343,                 1.3767,                 1.3389,                0.30295,                0.27351,                0.23865,                0.13881,                 1.3761,                 1.6311,                 1.5073,               0.005347,               0.005347,               0.005347
                     49,                 1.3457,                 1.3769,                 1.3435,                0.27732,                0.28562,                 0.2359,                0.13399,                 1.4026,                 1.6229,                 1.5084,               0.005248,               0.005248,               0.005248
                     50,                 1.3366,                 1.3723,                 1.3414,                0.28029,                0.27049,                0.22844,                0.13477,                 1.3779,                 1.6516,                 1.4944,               0.005149,               0.005149,               0.005149
                     51,                 1.3383,                 1.3737,                 1.3443,                0.25945,                0.31506,                 0.2334,                0.13726,                 1.3765,                  1.633,                 1.4935,                0.00505,                0.00505,                0.00505
                     52,                 1.3264,                 1.3623,                 1.3276,                 0.2763,                0.28881,                0.23954,                0.13697,                 1.4102,                 1.6412,                 1.5298,               0.004951,               0.004951,               0.004951
                     53,                  1.327,                 1.3555,                 1.3326,                0.29695,                0.27991,                0.24563,                0.14262,                 1.3759,                 1.6255,                 1.5063,               0.004852,               0.004852,               0.004852
                     54,                 1.3244,                 1.3433,                 1.3281,                0.32927,                0.29515,                0.25535,                0.14947,                   1.36,                 1.5855,                 1.4848,               0.004753,               0.004753,               0.004753
                     55,                 1.3182,                 1.3384,                 1.3242,                 0.3157,                0.31061,                0.25396,                0.14804,                 1.3733,                 1.6199,                 1.4975,               0.004654,               0.004654,               0.004654
                     56,                 1.3157,                 1.3422,                 1.3236,                0.26247,                0.30938,                0.23386,                0.13638,                 1.3933,                 1.6276,                 1.5127,               0.004555,               0.004555,               0.004555
                     57,                 1.3068,                 1.3344,                 1.3264,                0.27865,                0.30717,                0.23959,                0.13986,                 1.3801,                 1.6323,                 1.5073,               0.004456,               0.004456,               0.004456
                     58,                 1.2936,                 1.3217,                 1.3208,                0.28481,                0.31078,                0.24986,                0.14436,                 1.3873,                 1.6283,                 1.5054,               0.004357,               0.004357,               0.004357
                     59,                 1.3096,                 1.3237,                 1.3176,                0.27073,                0.29552,                 0.2429,                0.14141,                  1.389,                  1.634,                  1.513,               0.004258,               0.004258,               0.004258
                     60,                 1.2929,                 1.3115,                 1.3156,                0.31135,                0.28538,                0.24472,                0.14229,                 1.3927,                 1.6285,                 1.5187,               0.004159,               0.004159,               0.004159
                     61,                 1.2834,                 1.2914,                 1.3081,                0.27611,                0.30398,                0.23881,                0.13944,                  1.382,                 1.6286,                 1.5104,                0.00406,                0.00406,                0.00406
                     62,                 1.2869,                 1.2953,                 1.3004,                 0.2934,                0.30114,                0.23953,                0.13779,                 1.3643,                 1.6533,                 1.4903,               0.003961,               0.003961,               0.003961
                     63,                  1.291,                 1.2996,                 1.3074,                0.29013,                0.27232,                0.23834,                0.13717,                 1.3782,                 1.6431,                 1.5037,               0.003862,               0.003862,               0.003862
                     64,                 1.2902,                 1.2915,                 1.3091,                 0.3019,                0.27654,                 0.2419,                0.13735,                 1.3892,                 1.6088,                 1.5199,               0.003763,               0.003763,               0.003763
                     65,                 1.2778,                 1.3028,                 1.3072,                0.25883,                0.30376,                0.23243,                0.13571,                 1.3705,                 1.6044,                 1.4949,               0.003664,               0.003664,               0.003664
                     66,                 1.2752,                 1.2872,                  1.301,                0.27014,                0.29529,                0.23789,                 0.1344,                 1.3774,                 1.6235,                 1.5088,               0.003565,               0.003565,               0.003565
                     67,                 1.2736,                 1.2746,                 1.2958,                0.29699,                0.30161,                0.24842,                0.14676,                 1.3671,                 1.6179,                 1.4929,               0.003466,               0.003466,               0.003466
                     68,                  1.269,                 1.2805,                 1.3036,                0.26358,                0.32794,                0.23878,                0.13568,                 1.3848,                  1.632,                 1.5072,               0.003367,               0.003367,               0.003367
                     69,                 1.2616,                 1.2726,                 1.2946,                0.29141,                0.30971,                0.24604,                 0.1439,                 1.3591,                 1.6042,                 1.4931,               0.003268,               0.003268,               0.003268
                     70,                 1.2563,                  1.265,                 1.2936,                0.27751,                0.32307,                0.24256,                0.13927,                 1.4019,                 1.6294,                 1.5232,               0.003169,               0.003169,               0.003169
                     71,                 1.2547,                 1.2561,                 1.2873,                0.27975,                0.29179,                0.23649,                0.13542,                 1.3883,                 1.6247,                 1.5097,                0.00307,                0.00307,                0.00307
                     72,                 1.2519,                 1.2509,                 1.2847,                0.27863,                0.29285,                0.23673,                0.13494,                 1.3729,                 1.6471,                 1.4975,               0.002971,               0.002971,               0.002971
                     73,                 1.2516,                 1.2431,                 1.2824,                0.28095,                0.30078,                0.24166,                0.13634,                 1.3871,                 1.6294,                 1.5173,               0.002872,               0.002872,               0.002872
                     74,                 1.2587,                 1.2502,                  1.292,                0.28113,                0.28813,                0.23814,                0.13398,                 1.3565,                 1.6374,                 1.4851,               0.002773,               0.002773,               0.002773
                     75,                 1.2559,                 1.2464,                 1.2898,                 0.2655,                0.30108,                 0.2334,                0.13247,                  1.361,                 1.6352,                 1.4984,               0.002674,               0.002674,               0.002674
                     76,                 1.2574,                 1.2503,                 1.2914,                0.28012,                 0.3121,                 0.2528,                0.14534,                 1.3626,                 1.6128,                 1.4911,               0.002575,               0.002575,               0.002575
                     77,                 1.2422,                 1.2406,                 1.2794,                0.27562,                0.29862,                0.24498,                0.14052,                 1.3671,                 1.6111,                 1.5046,               0.002476,               0.002476,               0.002476
                     78,                 1.2371,                 1.2357,                 1.2745,                0.30516,                0.27162,                0.23989,                0.13834,                  1.373,                 1.6346,                 1.5025,               0.002377,               0.002377,               0.002377
                     79,                  1.225,                  1.223,                 1.2733,                0.26773,                0.30649,                0.24079,                0.13638,                 1.3806,                 1.6151,                 1.5151,               0.002278,               0.002278,               0.002278
                     80,                 1.2372,                 1.2223,                 1.2775,                0.29036,                0.29926,                0.24524,                0.14033,                  1.368,                 1.6054,                  1.501,               0.002179,               0.002179,               0.002179
                     81,                 1.2304,                 1.2221,                 1.2768,                0.29747,                0.30062,                0.23698,                0.13546,                  1.373,                 1.6383,                  1.503,                0.00208,                0.00208,                0.00208
                     82,                 1.2221,                 1.2239,                 1.2713,                0.28731,                 0.3063,                0.24276,                0.14014,                 1.3723,                 1.6321,                 1.5071,               0.001981,               0.001981,               0.001981
                     83,                  1.228,                 1.2119,                 1.2743,                0.28364,                0.30883,                 0.2372,                0.13553,                 1.3776,                 1.6421,                 1.5125,               0.001882,               0.001882,               0.001882
                     84,                   1.23,                 1.2227,                 1.2815,                0.29561,                0.30493,                 0.2399,                0.13843,                   1.38,                 1.6445,                 1.5049,               0.001783,               0.001783,               0.001783
                     85,                 1.2159,                  1.209,                 1.2698,                 0.2893,                0.29453,                0.23467,                0.13563,                 1.3777,                  1.632,                 1.5071,               0.001684,               0.001684,               0.001684
                     86,                 1.2254,                 1.2067,                 1.2695,                0.28898,                0.29406,                0.23368,                0.13475,                 1.3793,                 1.6403,                 1.5159,               0.001585,               0.001585,               0.001585
                     87,                  1.213,                    1.2,                 1.2642,                0.27676,                0.29908,                0.23307,                  0.133,                 1.3821,                 1.6606,                 1.5065,               0.001486,               0.001486,               0.001486
                     88,                 1.2187,                 1.2058,                 1.2658,                0.26666,                0.31531,                0.23364,                 0.1324,                 1.3692,                 1.6518,                 1.5025,               0.001387,               0.001387,               0.001387
                     89,                  1.205,                 1.1784,                 1.2618,                0.27271,                0.30226,                0.23549,                0.13429,                  1.375,                 1.6479,                 1.5054,               0.001288,               0.001288,               0.001288
                     90,                 1.1647,                  1.205,                 1.2722,                0.27962,                0.27368,                0.23246,                0.13094,                  1.389,                 1.6624,                 1.5201,               0.001189,               0.001189,               0.001189
                     91,                 1.1464,                 1.1686,                 1.2617,                0.28487,                0.27936,                0.23543,                 0.1356,                 1.3748,                 1.6231,                  1.509,                0.00109,                0.00109,                0.00109
                     92,                 1.1317,                 1.1417,                 1.2557,                0.29587,                0.28767,                0.23263,                0.13321,                 1.3856,                 1.6586,                 1.5208,               0.000991,               0.000991,               0.000991
                     93,                 1.1258,                  1.134,                 1.2536,                0.28629,                0.28362,                0.22918,                0.13166,                 1.3851,                 1.6582,                 1.5127,               0.000892,               0.000892,               0.000892
                     94,                 1.1268,                  1.136,                 1.2475,                0.26228,                 0.3196,                0.22937,                0.13146,                 1.3883,                 1.6634,                 1.5149,               0.000793,               0.000793,               0.000793
                     95,                 1.1202,                 1.1266,                 1.2427,                   0.27,                0.30678,                0.23494,                0.13428,                 1.3834,                 1.6678,                 1.5134,               0.000694,               0.000694,               0.000694
                     96,                 1.1195,                 1.1255,                 1.2404,                0.30338,                0.28033,                0.23478,                0.13426,                 1.3866,                 1.6698,                 1.5171,               0.000595,               0.000595,               0.000595
                     97,                 1.1131,                 1.1224,                 1.2413,                0.28535,                0.28093,                0.23309,                0.13379,                 1.3807,                 1.6634,                 1.5118,               0.000496,               0.000496,               0.000496
                     98,                 1.1122,                 1.1118,                 1.2404,                0.31496,                0.28825,                0.23659,                0.13458,                 1.3787,                 1.6711,                 1.5097,               0.000397,               0.000397,               0.000397
                     99,                 1.1079,                 1.1042,                 1.2345,                 0.2947,                0.28501,                0.23229,                0.13316,                 1.3751,                 1.6618,                 1.5062,               0.000298,               0.000298,               0.000298
